Rk,Player,Age,Tm,Pos,G,GS,MP,FG%,Dist.,% of FGA by Distance_2P,% of FGA by Distance_0-3,% of FGA by Distance_3-10,% of FGA by Distance_10-16,% of FGA by Distance_16-3P,% of FGA by Distance_3P,FG% by Distance_2P,FG% by Distance_0-3,FG% by Distance_3-10,FG% by Distance_10-16,FG% by Distance_16-3P,FG% by Distance_3P,% of FG Ast'd_2P,% of FG Ast'd_3P,Dunks_%FGA,Dunks_#,Corner 3s_%3PA,Corner 3s_3P%,Heaves_Att.,Heaves_Md.,Awards
228.0,Kris Humphries,24.0,NJN,PF,44.0,0.0,906.0,0.433,8.8,0.997,0.386,0.137,0.222,0.253,0.003,0.435,0.549,0.275,0.369,0.405,0.0,0.622,0.0,0.085,24.0,0.0,0.0,0.0,0.0,0
229.0,Tyrus Thomas,23.0,2TM,C,54.0,3.0,1220.0,0.462,8.2,0.993,0.433,0.14,0.136,0.283,0.007,0.465,0.56,0.271,0.404,0.445,0.0,0.665,0.0,0.136,51.0,0.333,0.0,0.0,0.0,0
229.0,Tyrus Thomas,23.0,CHI,PF,29.0,3.0,678.0,0.483,8.3,0.995,0.444,0.146,0.093,0.312,0.005,0.485,0.582,0.3,0.368,0.469,0.0,0.727,0.0,0.137,26.0,0.0,0.0,0.0,0.0,0
229.0,Tyrus Thomas,23.0,CHA,C,25.0,0.0,542.0,0.442,8.2,0.991,0.423,0.135,0.177,0.256,0.009,0.446,0.538,0.241,0.421,0.418,0.0,0.6,0.0,0.135,25.0,0.5,0.0,0.0,0.0,0
230.0,Eddie House,31.0,2TM,PG,68.0,0.0,1217.0,0.38,20.4,0.501,0.075,0.013,0.033,0.38,0.499,0.412,0.5,0.333,0.267,0.41,0.348,0.681,0.873,0.0,0.0,0.225,0.353,0.0,0.0,0
230.0,Eddie House,31.0,BOS,PG,50.0,0.0,846.0,0.401,21.2,0.481,0.056,0.016,0.031,0.379,0.519,0.419,0.5,0.4,0.4,0.41,0.383,0.8,0.922,0.0,0.0,0.251,0.357,0.0,0.0,0
230.0,Eddie House,31.0,NYK,SG,18.0,0.0,371.0,0.331,19.5,0.549,0.12,0.008,0.038,0.383,0.451,0.397,0.5,0.0,0.0,0.412,0.25,0.414,0.667,0.0,0.0,0.15,0.333,0.0,0.0,0
231.0,T.J. Ford,26.0,IND,PG,47.0,32.0,1189.0,0.445,11.6,0.88,0.316,0.105,0.184,0.275,0.12,0.484,0.545,0.5,0.416,0.452,0.16,0.197,0.625,0.002,1.0,0.34,0.118,2.0,0.0,0
232.0,Gilbert Arenas,28.0,WAS,PG,32.0,32.0,1169.0,0.411,15.6,0.706,0.203,0.11,0.093,0.3,0.294,0.437,0.528,0.353,0.421,0.411,0.348,0.163,0.508,0.003,1.0,0.066,0.25,1.0,0.0,0
233.0,Lou Amundson,27.0,PHO,PF,79.0,0.0,1168.0,0.551,3.1,0.996,0.725,0.159,0.072,0.04,0.004,0.553,0.595,0.455,0.45,0.364,0.0,0.697,0.0,0.149,39.0,0.0,0.0,1.0,0.0,0
234.0,Tyson Chandler,27.0,CHA,C,51.0,27.0,1163.0,0.574,1.9,1.0,0.816,0.116,0.032,0.037,0.0,0.574,0.645,0.318,0.0,0.286,0.0,0.606,0.0,0.347,56.0,0.0,0.0,0.0,0.0,0
235.0,Matt Bonner,29.0,SAS,PF,65.0,8.0,1161.0,0.446,18.7,0.379,0.081,0.164,0.062,0.073,0.621,0.539,0.667,0.525,0.478,0.481,0.39,0.5,0.989,0.008,3.0,0.121,0.393,0.0,0.0,0
236.0,DeAndre Jordan,21.0,LAC,C,70.0,12.0,1137.0,0.605,1.4,0.992,0.861,0.088,0.034,0.008,0.008,0.61,0.639,0.524,0.25,0.0,0.0,0.66,0.0,0.437,93.0,0.0,0.0,0.0,0.0,0
